Sample,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
6155-CL-1,"8,180","26,778","2,864","219,042,404",97.7%,40.5%,96.3%,93.1%,95.5%,94.6%,93.4%,5.7%,69.0%,18.7%,66.5%,20.8%,90.1%,"25,026","7,755"
6128-CL-1,"7,470","41,782","2,562","312,107,869",97.6%,63.4%,96.0%,91.2%,95.9%,93.2%,92.0%,5.1%,65.6%,21.2%,57.7%,28.8%,92.5%,"24,894","6,419"
6881-CL-1,"8,216","29,193","2,518","239,848,130",96.9%,52.7%,96.1%,89.3%,94.0%,94.7%,93.5%,5.1%,67.1%,21.4%,63.8%,24.3%,93.5%,"24,852","6,216"
6881-CL-2,"9,223","27,005","2,636","249,071,524",97.3%,49.7%,95.9%,89.4%,93.7%,94.7%,93.6%,5.1%,70.2%,18.3%,71.2%,16.9%,93.2%,"24,679","7,330"
5905-CL-1,968,"226,729","4,090","219,474,063",97.1%,85.3%,96.9%,93.4%,97.0%,95.4%,94.3%,4.8%,70.2%,19.3%,61.0%,28.0%,93.7%,"22,687","16,434"
5889-CL-1,"7,908","28,921","2,472","228,706,869",97.0%,50.9%,95.7%,92.0%,95.5%,95.4%,94.4%,5.0%,67.4%,21.9%,61.3%,27.7%,92.0%,"24,641","6,146"
6887-CL-1,"8,029","33,445","2,471","268,532,170",96.8%,52.6%,96.1%,89.5%,94.1%,94.9%,93.8%,5.2%,69.4%,19.1%,61.2%,26.9%,93.7%,"24,944","6,050"
6889-CL-1,"8,513","27,521","2,468","234,290,294",97.0%,50.9%,96.0%,89.5%,93.9%,94.2%,93.0%,5.0%,66.5%,21.5%,62.0%,25.6%,93.3%,"24,805","6,174"
6889-CL-2,"10,061","23,192","2,489","233,332,727",97.4%,47.4%,95.8%,89.6%,93.5%,94.8%,93.7%,5.1%,68.4%,20.2%,75.0%,13.1%,91.9%,"24,719","6,634"
5889-CL-2,"7,903","28,272","2,172","223,431,965",97.2%,54.7%,95.6%,91.5%,95.5%,95.5%,94.4%,4.8%,67.2%,22.5%,60.7%,28.5%,92.7%,"24,316","5,348"
6128-CL-2,"10,120","23,875","2,172","241,613,611",97.9%,53.9%,95.8%,90.8%,95.7%,93.3%,92.3%,4.5%,59.1%,28.7%,69.3%,18.1%,90.0%,"24,433","5,376"
5896-CL-2,"6,766","28,794","2,306","194,817,867",97.3%,44.7%,94.4%,91.6%,91.7%,94.5%,93.4%,4.9%,68.2%,20.2%,57.7%,30.3%,92.0%,"24,458","6,111"
6135-CL-2,"7,607","34,062","2,872","259,109,018",97.4%,53.7%,96.4%,91.9%,95.5%,94.0%,92.9%,5.1%,67.4%,20.3%,66.4%,20.9%,91.5%,"24,839","7,735"
5922-CL-3,"6,979","34,467","2,415","240,548,056",97.4%,53.0%,95.6%,92.2%,95.4%,95.3%,94.2%,5.2%,70.2%,18.8%,62.0%,26.6%,92.9%,"24,690","6,425"
6141-CL-4,"8,230","39,193","3,160","322,560,995",97.4%,47.4%,96.0%,91.4%,96.0%,94.2%,93.1%,5.1%,69.0%,18.9%,61.7%,25.8%,91.6%,"25,374","9,448"
5928-CL-1,"7,918","31,463","2,624","249,120,428",98.0%,50.1%,95.5%,91.8%,95.2%,94.9%,93.7%,4.8%,56.3%,32.7%,73.5%,15.0%,90.9%,"24,605","6,922"
6148-CL-2,"9,006","35,216","2,378","317,151,582",98.0%,63.2%,96.4%,92.7%,95.5%,94.5%,93.3%,5.3%,59.6%,28.4%,72.2%,15.3%,90.5%,"24,731","6,274"
6155-CL-2,"10,822","28,725","2,904","310,865,659",98.2%,45.8%,96.4%,92.8%,95.5%,94.2%,93.0%,5.4%,61.5%,26.1%,74.3%,12.8%,87.0%,"25,122","8,111"
6155-CL-4,"9,747","20,694","2,512","201,700,206",97.9%,39.8%,96.4%,92.9%,95.6%,94.6%,93.5%,5.2%,67.2%,21.0%,69.1%,18.6%,92.1%,"24,739","6,593"
4806-CL-1,"12,708","25,574","2,714","325,000,000",97.4%,38.1%,96.5%,93.2%,96.1%,95.1%,93.9%,5.3%,51.4%,37.3%,67.6%,20.7%,82.8%,"25,216","6,922"
6148-CL-1,"8,791","30,390","2,392","267,157,114",98.2%,63.0%,96.2%,92.4%,95.4%,94.9%,93.8%,5.0%,63.4%,25.4%,75.7%,12.7%,92.8%,"23,869","6,152"
