"Mouse ID","Drug","Timepoint","Sex","Mouse sac'd","nuclei processed?","Seq ID","reads/cell requested","seq data received on Globus, transfered to kykwan","Reason for Exclusion"
346,"none","0h","F","4/5/22","DONE","6155-CL-1","25K","yes",
347,"none","0h","F","4/5/22","DONE","6128-CL-1","25K","yes",
465,"none","0h","F","6/29/22","DONE","6881-CL-1","25K",,
467,"none","0h","F","6/29/22","DONE","6881-CL-2","25K",,
"290*","none","0h","M","3/30/22","DONE","5905-CL-1","25K","yes","*low cell number, replace sample with #"
291,"none","0h","M","3/30/22","DONE","5889-CL-1","25K","yes",
469,"none","0h","M",,"DONE","6887-CL-1","25K","yes",
466,"none","0h","F",,"DONE","6889-CL-1","25K","yes",
470,"none","0h","F",,"DONE","6889-CL-2","25K","yes",
303,"Psilo","1h","F","3/30/22","DONE","5889-CL-2","25K","yes",
352,"Psilo","1h","F","4/6/22","DONE","6128-CL-2","25K","yes",
302,"Psilo","2h","F","3/30/22","DONE","5896-CL-2","25K","yes",
349,"Psilo","2h","F","4/6/22","DONE","6135-CL-2","25K","yes",
306,"Psilo","4h","F","3/31/22","DONE","5922-CL-3","25K","yes",
344,"Psilo","4h","F","4/6/22","DONE","6141-CL-4","25K","yes",
301,"Psilo","24h","F","3/31/22","DONE","5928-CL-1","25K","yes",
345,"Psilo","24h","F","4/7/22","DONE","6148-CL-2","25K","yes",
378,"Psilo","72h","F","4/22/22","DONE","6155-CL-2","25K","yes",
392,"Psilo","72h","F","4/27/22","DONE","6155-CL-4","25K","yes",
41,"Psilo","1h","M","7/28/21","DONE","4806-CL-1","250k (oops)","yes",
341,"Psilo","1h","M","4/7/22","DONE","6148-CL-1","25K","yes",
42,"Psilo","2h","M","7/28/21","DONE","4806-CL-2","250k (oops)","yes",
339,"Psilo","2h","M","4/6/22","DONE","6135-CL-1","25K","yes",
292,"Psilo","4h","M","3/30/22","DONE","5896-CL-1","25K","yes",
342,"Psilo","4h","M","4/6/22","DONE","6145-CL-3","25K","yes",
343,"Psilo","24h","M","4/7/22","DONE","6145-CL-1","25K","yes",
371,"Psilo","24h","M","4/27/22","DONE","6155-CL-3","25K","yes",
373,"Psilo","72h","M","4/22/22","DONE","6148-CL-3","25K","yes",
375,"Psilo","72h","M","4/22/22","DONE","6148-CL-4","25K","yes",
354,"Ket","1h","F","4/6/22","DONE","6141-CL-1","25K","yes",
408,"Ket","1h","F","4/27/22","DONE","6163-CL-1","25K","yes",
305,"Ket","2h","F","3/31/22","DONE","5922-CL-1","25K","yes",
353,"Ket","2h","F","4/6/22","DONE","6141-CL-2","25K","yes",
307,"Ket","4h","F","3/31/22","DONE","5922-CL-2","25K","yes",
350,"Ket","4h","F","4/6/22","DONE","6145-CL-2","25K","yes",
309,"Ket","24h","F","4/1/22","DONE","5928-CL-2","25K","yes",
443,"Ket","24h","F",,"DONE","6887-CL-3","25K","yes",
441,"Ket","72h","F",,"DONE","6887-CL-2","25K","yes",
391,"Ket","72h","F","4/27/22","DONE","6163-CL-2","25K","yes",
445,"Ket","1h","M",,"DONE","6887-CL-4","25K","yes",
299,"Ket","1h","M","3/30/22","DONE","5905-CL-4","25K","yes",
297,"Ket","2h","M","3/30/22","DONE","5905-CL-3","25K","yes",
338,"Ket","2h","M","4/6/22","DONE","6141-CL-3","25K","yes",
296,"Ket","4h","M","3/30/22","DONE","5905-CL-2","25K","yes",
337,"Ket","4h","M","4/6/22","DONE","6145-CL-4","25K","yes",
39,"Ket","24h","M","7/28/21","DONE","4797-CL-1","250k (oops)","yes",
335,"Ket","24h","M","4/7/22","DONE","6163-CL-3","25K","yes",
334,"Ket","72h","M","4/19/22","DONE","6163-CL-4","25K","yes",
40,"Ket","72h","M","7/29/21","DONE","4797-CL-2","250k (oops)","yes",
